County_subdivision,a,Y,b,c,d,e,f,sub,County,coun,Housings,House_age,Hispanic
"District D, St. Bernard Parish",3.429722222,2.718373052,9,661.649405,67.23484826,57789,25.2,162,St. Bernard Parish,21,3471,86.5,0
"New Orleans, Orleans Parish",6154.445,8.282089285,11,17479.08555,67.37211599,43258,58.6,165,Orleans Parish,17,192012,89.6,3.1
"District 14, St. Tammany Parish",257.2097222,2.169430887,10,1559.625771,90.98124256,35881,34.8,32,St. Tammany Parish,29,4874,63.8,0.9
"District 11, St. Tammany Parish",71.33361111,2.535877362,10,2282.710267,82.18062106,58563,26.9,24,St. Tammany Parish,29,5732,76.6,0.7
"District 4, East Baton Rouge Parish",1200.833611,0.100934916,6,2393.934876,23.03921976,84313,24,74,East Baton Rouge Parish,7,13980,77.4,2.7
"District 4, Cameron Parish",0.5,4.174804995,0.5,0,212.2285767,56902,0,73,Cameron Parish,5,601,33,0.5
"District 7, Terrebonne Parish",934.5827778,10.94498701,28,27475.67128,55.57788248,55487,13.1,131,Terrebonne Parish,31,4299,72.6,7.9
"District 12, East Baton Rouge Parish",1375.991389,0.295083043,6,1908.624456,39.84580154,57325,26.2,25,East Baton Rouge Parish,7,21536,77.2,1.4
"District 12, St. Tammany Parish",52.2175,2.301612046,10,1559.625771,88.0852196,53236,20,27,St. Tammany Parish,29,6404,70.9,4.3
"District 12, Iberia Parish",44.91805556,0.724462907,0,1146.394372,110.5395372,40122,80.2,26,Iberia Parish,10,1850,89.6,8.5
"District 6, St. Charles Parish",861.1105556,7.697780017,22,26893.64027,29.52501908,62717,10.5,110,St. Charles Parish,22,2954,78.7,10
"District 6, Assumption Parish",3.765,2.409220714,14,3984.50573,48.26685307,50287,64.7,102,Assumption Parish,3,1225,81.4,0.6
"District 6, Tangipahoa Parish",3176.885833,5.324665294,18,5816.328919,28.06681074,47593,38.1,116,Tangipahoa Parish,30,6032,72,0
"District 3, Jefferson Parish",732.3069444,5.686875996,13,16735.76067,39.01436306,42713,62.7,56,Jefferson Parish,13,29794,92.2,1.6
"District 9, Vermilion Parish",1.612222222,1.606304593,0,0,149.2853645,50445,12.1,156,Vermilion Parish,32,1829,68,1.1
"District 9, Terrebonne Parish",626.6425,8.516302277,28,19495.68817,20.7650813,54567,3.5,155,Terrebonne Parish,31,4698,75.5,1.5
"District 4, St. James Parish",173.765,4.553310272,18,2029.541769,28.20105811,49000,51.6,81,St. James Parish,24,1083,82.1,3.7
"District 7, Tangipahoa Parish",210.2027778,4.298740928,18,3639.288919,33.53387845,26160,63.6,130,Tangipahoa Parish,30,5277,71.7,2.3
"District 7, Lafourche Parish",114.7602778,5.102680853,29,14670.6696,38.0743481,64217,1.3,121,Lafourche Parish,15,4531,82.3,0.2
"District 6, St. Martin Parish",704.0825,0.449955749,0.5,382.4338244,112.9880527,52674,25.6,113,St. Martin Parish,27,2850,63.9,1.9
"District 11, East Baton Rouge Parish",2789.336944,1.55484308,6,1274.966544,34.50233426,64320,22,23,East Baton Rouge Parish,7,20677,72.9,10.2
"District 9, Evangeline Parish",0.5,3.806090673,0,0,135.3095888,21283,51.9,148,Evangeline Parish,9,995,74.1,6
"District 9, St. Tammany Parish",308.9861111,0.495629495,10,543.2421418,99.36968739,76710,12.9,153,St. Tammany Parish,29,7141,71.6,0.3
"District 7, Livingston Parish",158.0058333,0.455608276,18,1160.816616,12.41776092,64657,7.1,122,Livingston Parish,16,6345,51.9,1.1
"District 7, St. Tammany Parish",261.5863889,1.384458336,10,2432.251641,74.45149759,67035,10.9,129,St. Tammany Parish,29,7977,64.6,0.3
